id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energía_activa_kWh,energía_reactiva_kVArh,potencia_máxima_kW,día_de_demanda_máxima_kW,fecha_de_demanda_máxima,promedio_diario_en_horas
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835012,CHAJAL (TUMACO - NARIÑO),2020,2,4599.0,1354.0,136840.0,lunes,2020-02-24 19:30:00,126.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835016,PITAL DE LA COSTA (TUMACO - NARIÑO),2020,2,19206.0,11315.0,840.0,sábado,2020-02-15 19:00:00,1029.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835212,PUEBLO NUEVO (TABLÓN SALADO) (TUMACO - NARIÑO),2020,2,3721.0,1332.0,18620.0,sábado,2020-02-01 19:15:00,943.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2020,2,18939.0,1421.0,14720.0,lunes,2020-02-17 19:15:00,608.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835091,SANTA ROSA (TUMACO - NARIÑO),2020,2,1082.0,2780.0,30560.0,miércoles,2020-02-05 19:30:00,124.0
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696014,LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2020,2,4071.0,4702.0,27490.0,domingo,2020-02-16 19:30:00,544.0
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696017,SANTA RITA (SANTA BARBARA (ISCUANDÉ) - NARIÑO),2020,2,5168.0,2452.0,38520.0,sábado,2020-02-29 19:15:00,537.0
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2020,2,3342.0,162.0,2880.0,sábado,2020-02-22 20:45:00,547.0
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573000,PUERTO LEGUÍZAMO (PUERTO LEGUÍZAMO - PUTUMAYO),2020,2,779919.0,282489.0,199672.0,martes,2020-02-04 14:45:00,2005.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2020,2,44375.0,14156.0,26470.0,miércoles,2020-02-19 19:30:00,649.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2020,2,7245.0,3758.0,37150.0,viernes,2020-02-28 19:30:00,834.0
97,VAUPÉS,97161,CARURÚ,97161000,CARURÚ (CARURÚ - VAUPÉS),2020,2,25277.0,9295.0,104720.0,lunes,2020-02-17 19:15:00,1214.0
97,VAUPÉS,97001,MITÚ,97001000,MITÚ (MITÚ - VAUPÉS),2020,2,7576.0,370019.0,259737.0,viernes,2020-02-21 23:45:00,2351.0
97,VAUPÉS,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2020,2,19748.0,6563.0,104980.0,martes,2020-02-11 19:30:00,759.0
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO (CUMARIBO - VICHADA),2020,2,268753.0,113806.0,624360.0,martes,2020-02-25 18:15:00,1935.0
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2020,2,357737.0,181789.0,74060.0,miércoles,2020-02-26 18:45:00,24.0
99,VICHADA,99001,PUERTO CARREÑO,99001002,CASUARITO (PUERTO CARREÑO - VICHADA),2020,2,13438.0,5547.0,127950.0,lunes,2020-02-24 19:45:00,509.0
99,VICHADA,99001,PUERTO CARREÑO,99001000,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2020,2,7576.0,79128.0,461472.0,martes,2020-02-18 14:15:00,24.0
99,VICHADA,99624,SANTA ROSALÍA,99624000,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2020,2,12553.0,60239.0,350930.0,martes,2020-02-25 19:00:00,1551.0
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,3,7576.0,4650.0,765286.0,jueves,2020-03-12 15:15:00,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020,3,106517.0,37768.0,222290.0,jueves,2020-03-12 19:30:00,24.0
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020,3,24212.0,9387.0,92790.0,martes,2020-03-03 19:15:00,1015.0
