id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energía_activa_kWh,energía_reactiva_kVArh,potencia_máxima_kW,día_de_demanda_máxima_kW,fecha_de_demanda_máxima,promedio_diario_en_horas
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020,12,23.543,9.879,93.12,jueves,2020-12-31 19:15:00,1022.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020,12,4.556,1.73,34.75,jueves,2020-12-31 19:15:00,534.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020,12,5.286,547.0,46.94,miércoles,2020-12-09 18:15:00,647.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020,12,105.787,39.101,296.38,lunes,2020-12-29 00:45:00,131.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,12,18.18,9.5,133.69,jueves,2020-12-31 15:30:00,538.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,12,16.816,7.999,87.38,jueves,2020-12-31 19:30:00,817.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150002,SANTA FE DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,12,4.298,2.392,42.96,jueves,2020-12-31 19:00:00,411.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,12,13.318,5.565,43.97,jueves,2020-12-31 19:45:00,1835.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753015,GUAYABAL (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,12,6.343,3.648,37.17,jueves,2020-12-31 18:30:00,73.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753009,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,12,5.697,2.205,41.56,jueves,2020-12-24 19:45:00,548.0
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,12,13.243,7.673,120.06,sábado,2020-12-19 23:30:00,622.0
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2020,12,11.455,2.809,54.37,jueves,2020-12-31 20:30:00,838.0
19,CAUCA,19318,GUAPI,19318013,SAN ANTONIO DE GUAJUÍ (GUAPI - CAUCA),2020,12,12.143,4.09,64.63,miércoles,2020-12-09 19:15:00,745.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418011,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020,12,7.196,2.458,35.97,jueves,2020-12-10 19:30:00,819.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020,12,4.586,1.456,28.64,jueves,2020-12-31 19:30:00,641.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418007,LA CONCHA - CONCEPCIÓN NAYA (LOPEZ (MICAY) - CAUCA),2020,12,3.448,566.0,17.52,jueves,2020-12-24 20:00:00,805.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020,12,7.545,2.498,40.0,miércoles,2020-12-30 20:00:00,758.0
